id,status,chance_of_playing_next_round,chance_of_playing_this_round,news,news_added
549,a,,,,
550,a,,,,
551,a,,,,
552,n,0.0,0.0,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,
553,n,0.0,0.0,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,
554,a,,,,
555,u,0.0,0.0,has joined Middlesbrough on loan for the rest of the season.,
556,u,0.0,0.0,Has joined AS Saint-Etienne permanently.,
558,a,,,,
559,u,0.0,0.0,has joined Minnesota United permanently.,
560,d,75.0,,Knock - 75% chance of playing,
561,a,,,,
563,u,0.0,0.0,has joined Moreirense on loan for the rest of the season.,
564,u,0.0,0.0,has joined Arka on loan for the rest of the season.,
668,a,,,,
670,a,,,,
678,n,0.0,0.0,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,
683,a,100.0,100.0,,
694,a,,,,
724,a,,,,
730,a,100.0,75.0,,
735,n,0.0,0.0,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,
774,a,,,,
775,a,,,,
566,a,,,,
567,a,,,,
568,a,,,,
572,a,100.0,100.0,,
573,a,,,,
574,d,75.0,0.0,Lack of match fitness - 75% chance of playing,
575,a,,,,
576,u,0.0,0.0,Has joined Stoke City on loan for the rest of the season.,
577,u,0.0,0.0,has joined Borussia Mönchengladbach on loan for the rest of the season.,
578,u,0.0,0.0,has joined Hamburger SV on loan for the rest of the season.,
320,a,,,,
473,a,100.0,75.0,,
474,a,100.0,100.0,,
579,u,0.0,0.0,Has joined Los Angeles FC permanently.,
581,i,0.0,0.0,Anterior cruciate ligament - Unknown return date,
582,d,25.0,100.0,Thigh injury - 25% chance of playing,
583,i,0.0,0.0,Knee injury - Unknown return date,
584,a,,,,
585,a,,,,
586,a,100.0,75.0,,
587,n,0.0,0.0,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,
588,a,100.0,100.0,,
589,u,0.0,0.0,has joined Villarreal CF on loan for the rest of the season.,
591,a,100.0,100.0,,
592,u,0.0,0.0,Has joined Rangers on loan for the rest of the season.,
593,n,0.0,0.0,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,
594,u,0.0,0.0,Has joined Portsmouth on loan for the rest of the season.,
595,a,,,,
596,i,0.0,0.0,Lack of match fitness - Expected back 01 Jan,
597,a,,,,
598,u,0.0,0.0,Has joined Oxford United on loan for the rest of the season.,
599,a,,,,
673,a,,,,
717,a,100.0,0.0,,
726,a,100.0,100.0,,
745,a,,,,
750,a,,,,
751,a,,,,
790,a,,,,
149,a,100.0,100.0,,
600,a,,,,
