,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
166,Ben Godfrey,eng ENG,DF,Norwich City,21,1998,29.4,,15,,,,,,,,,,,26,,,,Matches,9f7c837d
167,André Gomes,pt POR,MF,Everton,26,1993,16.2,,16,,,,,,,,,,,7,,,,Matches,1961b2aa
168,Angel Gomes,eng ENG,FWMF,Manchester Utd,18,2000,0.2,,0,,,,,,,,,,,0,,,,Matches,645a3363
169,Joe Gomez,eng ENG,DF,Liverpool,22,1997,22.3,,16,,,,,,,,,,,41,,,,Matches,7a11550b
170,Anthony Gordon,eng ENG,MF,Everton,18,2001,4.9,,8,,,,,,,,,,,8,,,,Matches,2bd83368
171,Dan Gosling,eng ENG,MF,Bournemouth,29,1990,14.0,,11,,,,,,,,,,,20,,,,Matches,7fec31a0
172,Andre Gray,jm JAM,FW,Watford,28,1991,8.4,,3,,,,,,,,,,,1,,,,Matches,c24dba2a
173,Demarai Gray,jm JAM,MF,Leicester City,23,1996,6.9,,6,,,,,,,,,,,5,,,,Matches,4468ec10
174,Jack Grealish,eng ENG,FWMF,Aston Villa,23,1995,35.9,,17,,,,,,,,,,,25,,,,Matches,b0b4fd3e
175,Mason Greenwood,eng ENG,MFFW,Manchester Utd,17,2001,14.7,,11,,,,,,,,,,,8,,,,Matches,58eee997
176,Pascal Groß,de GER,MFFW,Brighton,28,1991,20.0,,14,,,,,,,,,,,9,,,,Matches,8aec0537
177,Vicente Guaita,es ESP,GK,Crystal Palace,32,1987,35.0,,1,,,,,,,,,,,0,,,,Matches,ab13a5aa
178,Mattéo Guendouzi,fr FRA,MF,Arsenal,20,1999,19.4,,17,,,,,,,,,,,30,,,,Matches,5ea8ef20
179,Frederic Guilbert,fr FRA,DFMF,Aston Villa,24,1994,22.7,,45,,,,,,,,,,,48,,,,Matches,5d8d7454
180,İlkay Gündoğan,de GER,MF,Manchester City,28,1990,22.4,,17,,,,,,,,,,,30,,,,Matches,819b3158
181,Angus Gunn,sct SCO,GK,Southampton,23,1996,10.0,,1,,,,,,,,,,,0,,,,Matches,e082af5b
182,Sébastien Haller,ci CIV,FW,West Ham,25,1994,25.2,,13,,,,,,,,,,,8,,,,Matches,ba115a40
183,Grant Hanley,sct SCO,DF,Norwich City,27,1991,14.0,,14,,,,,,,,,,,30,,,,Matches,e9254eec
184,Kortney Hause,eng ENG,DF,Aston Villa,24,1995,17.2,,10,,,,,,,,,,,20,,,,Matches,bf8fad51
185,Isaac Hayden,jm JAM,MF,Newcastle,24,1995,24.7,,28,,,,,,,,,,,36,,,,Matches,c951a6df
186,Tom Heaton,eng ENG,GK,Aston Villa,33,1986,19.9,,2,,,,,,,,,,,0,,,,Matches,a6de6361
187,Dean Henderson,eng ENG,GK,Sheffield United,22,1997,36.0,,0,,,,,,,,,,,0,,,,Matches,e5a76dfe
188,Jordan Henderson,eng ENG,MF,Liverpool,29,1990,24.9,,39,,,,,,,,,,,29,,,,Matches,935e6b8f
189,Jeff Hendrick,ie IRL,MF,Burnley,27,1992,21.5,,10,,,,,,,,,,,19,,,,Matches,989d5705
190,Wayne Hennessey,wls WAL,GK,Crystal Palace,32,1987,3.0,,0,,,,,,,,,,,1,,,,Matches,76eca7e2
191,Javier Hernández,mx MEX,FW,West Ham,31,1988,1.2,,0,,,,,,,,,,,0,,,,Matches,189cee7b
192,Onel Hernández,cu CUB,MF,Norwich City,26,1993,15.4,,19,,,,,,,,,,,19,,,,Matches,007b39a5
193,Son Heung-min,kr KOR,MFFW,Tottenham,27,1992,27.5,,17,,,,,,,,,,,19,,,,Matches,92e7e919
194,George Hirst,sct SCO,FW,Leicester City,20,1999,0.1,,0,,,,,,,,,,,0,,,,Matches,78e87179
195,Rob Holding,eng ENG,DF,Arsenal,23,1995,6.5,,1,,,,,,,,,,,5,,,,Matches,d79a8c87
196,José Holebas,gr GRE,DF,Watford,35,1984,11.4,,17,,,,,,,,,,,2,,,,Matches,12aa7661
197,Mason Holgate,jm JAM,DF,Everton,22,1996,22.8,,26,,,,,,,,,,,32,,,,Matches,d0042ab9
198,Nathan Holland,eng ENG,FWMF,West Ham,21,1998,0.4,,1,,,,,,,,,,,0,,,,Matches,45ab2170
199,Conor Hourihane,ie IRL,MF,Aston Villa,28,1991,17.0,,9,,,,,,,,,,,12,,,,Matches,fcab00a0
200,Callum Hudson-Odoi,eng ENG,MFFW,Chelsea,18,2000,9.6,,6,,,,,,,,,,,2,,,,Matches,15f3ec41
201,Will Hughes,eng ENG,MF,Watford,24,1995,25.0,,45,,,,,,,,,,,35,,,,Matches,a0666d3e
202,Pierre Højbjerg,dk DEN,MF,Southampton,23,1995,30.6,,50,,,,,,,,,,,45,,,,Matches,8b04d6c1
203,Jordon Ibe,eng ENG,FWMF,Bournemouth,23,1995,0.6,,2,,,,,,,,,,,0,,,,Matches,9f736ed2
204,Adam Idah,ie IRL,FW,Norwich City,18,2001,2.5,,2,,,,,,,,,,,0,,,,Matches,291e3ec3
205,Odion Ighalo,ng NGA,FW,Manchester Utd,30,1989,1.1,,2,,,,,,,,,,,0,,,,Matches,03622183
206,Kelechi Iheanacho,ng NGA,FW,Leicester City,22,1996,10.7,,1,,,,,,,,,,,4,,,,Matches,c92e1a31
207,Danny Ings,eng ENG,FW,Southampton,27,1992,31.2,,27,,,,,,,,,,,12,,,,Matches,07802f7f
208,Alex Iwobi,ng NGA,MF,Everton,23,1996,17.7,,18,,,,,,,,,,,13,,,,Matches,6ca5ec4b
209,Phil Jagielka,eng ENG,DF,Sheffield United,36,1982,2.7,,4,,,,,,,,,,,4,,,,Matches,3233eefd
